,Diverse,Quo Lux,Leskeaceae,£7872.25,1,12/8/2020,8/25/2020,1,1,false
,systematic,Redhold,Brachytheciaceae,£8094.32,2,6/30/2020,10/31/2020,2,2,false
,Re-contextualized,Zaam-Dox,Araceae,£29833.15,3,9/1/2020,6/26/2020,3,3,true
,grid-enabled,Bitwolf,Polemoniaceae,£16690.47,4,4/24/2021,10/6/2020,4,4,false
,encryption,Voltsillam,Sapotaceae,£13229.49,5,9/22/2020,7/13/2020,5,5,true
,concept,Stronghold,Urticaceae,£8893.33,6,7/3/2020,3/10/2021,6,6,false
,budgetary management,Vagram,Asteraceae,£18562.42,7,5/23/2020,9/9/2020,7,7,false
,toolset,Toughjoyfax,Chenopodiaceae,£25446.51,8,8/27/2020,9/2/2020,8,8,true
,background,Bitwolf,Arecaceae,£13210.91,9,2/8/2021,9/27/2020,9,9,true
,Automated,Flexidy,Fabaceae,£25141.48,10,9/2/2020,1/12/2021,10,10,true
,optimal,Zathin,Boraginaceae,£8999.01,11,5/3/2021,10/11/2020,11,11,false
,Implemented,Stronghold,Fabaceae,£1409.55,12,3/26/2021,1/10/2021,12,12,true
,contextually-based,Ventosanzap,Poaceae,£15629.90,13,12/5/2020,12/27/2020,13,13,true
,Quality-focused,Voyatouch,Asteraceae,£21477.54,14,6/13/2020,10/3/2020,14,14,false
,groupware,Redhold,Polygonaceae,£16664.29,15,5/22/2020,7/15/2020,15,15,false
,protocol,Fix San,Cyperaceae,£25850.13,16,7/9/2020,1/6/2021,16,16,true
,intangible,Prodder,Pottiaceae,£22420.81,17,6/18/2020,6/22/2020,17,17,false
,data-warehouse,Cookley,Gentianaceae,£14009.38,18,7/31/2020,10/5/2020,18,18,true
,composite,Sonsing,Rutaceae,£26478.18,19,12/30/2020,2/18/2021,19,19,true
,groupware,Fixflex,Apocynaceae,£27181.71,20,7/18/2020,12/26/2020,20,20,true
,internet solution,Tampflex,Diapensiaceae,£12519.59,21,1/6/2021,9/24/2020,21,21,false
,Front-line,Transcof,Asteraceae,£16470.34,22,1/27/2021,6/13/2020,22,22,false
,definition,Cardify,Saxifragaceae,£21705.87,23,6/25/2020,4/7/2021,23,23,false
,capacity,Asoka,Fabaceae,£27808.59,24,2/19/2021,4/15/2021,24,24,true
,installation,Konklab,Poaceae,£20578.68,25,6/5/2020,11/18/2020,25,25,true
,Total,Tempsoft,Thelotremataceae,£4677.38,26,10/8/2020,6/11/2020,26,26,true
