,Tin,Paeoniaceae,5/3/2021,1/27/2021,1,1,true
,Bitwolf,Asteraceae,5/1/2021,5/29/2020,2,2,true
,Latlux,Apiaceae,5/16/2020,5/19/2020,3,3,false
,Ventosanzap,Rosaceae,8/28/2020,9/29/2020,4,4,false
,Mat Lam Tam,Caryophyllaceae,8/31/2020,11/27/2020,5,5,true
,Alphazap,Annonaceae,6/21/2020,1/27/2021,6,6,false
,Stim,Cactaceae,7/14/2020,3/26/2021,7,7,false
,Regrant,Asteraceae,9/21/2020,3/15/2021,8,8,true
,Wrapsafe,Cyperaceae,10/31/2020,8/16/2020,9,9,true
,Duobam,Solanaceae,10/27/2020,5/4/2021,10,10,false
,Tres-Zap,Poaceae,2/4/2021,12/13/2020,11,11,true
,Tresom,Chenopodiaceae,1/23/2021,8/11/2020,12,12,true
,Zaam-Dox,Brassicaceae,6/30/2020,10/31/2020,13,13,true
,Latlux,Fabaceae,7/8/2020,7/14/2020,14,14,false
,Zoolab,Scrophulariaceae,2/21/2021,1/31/2021,15,15,false
,Span,Myrsinaceae,5/21/2020,3/23/2021,16,16,true
,Prodder,Convolvulaceae,8/11/2020,1/2/2021,17,17,true
,Viva,Cyperaceae,7/5/2020,4/4/2021,18,18,true
,Zontrax,Convolvulaceae,10/22/2020,7/26/2020,19,19,true
,Asoka,Poaceae,9/13/2020,1/4/2021,20,20,true
,Transcof,Passifloraceae,6/1/2020,5/4/2021,21,21,true
,Biodex,Funariaceae,7/1/2020,2/3/2021,22,22,false
,Mat Lam Tam,Crassulaceae,3/20/2021,9/26/2020,23,23,true
,Temp,Cactaceae,1/3/2021,4/24/2021,24,24,true
,Lotlux,Ephedraceae,5/18/2020,7/20/2020,25,25,true
,Alphazap,Poaceae,10/18/2020,1/12/2021,26,26,true
,It,Rubiaceae,6/19/2020,9/23/2020,27,27,true
,Zontrax,Ephedraceae,1/2/2021,11/2/2020,28,28,true
,Flowdesk,Collemataceae,1/28/2021,6/7/2020,29,29,true
,Cardguard,Poaceae,7/5/2020,4/10/2021,30,30,true
,Mat Lam Tam,Pteridaceae,8/19/2020,9/26/2020,31,31,false
,Temp,Orchidaceae,7/15/2020,2/6/2021,32,32,true
,Stronghold,Solanaceae,5/29/2020,5/16/2020,33,33,true
